species,rRNA genes,tRNA genes
Treponema pallidum,6,45
Treponema denticola,6,44
Treponema primitia,6,51
Serpulina pilosicoli,3,34
Serpulina hyodysenteriae,3,34
Serpulina innocens,3,35
Spirochaeta aurantia,,
Spirochaeta zuelzerae,,
Borrelia sp.,,
Borrelia hermsii,3,32
Spiroplasma citri,3,32
Spiroplasma kunkelii,3,33
Spiroplasma alleghenense,6,31
Leptospira interrogans,5,37
Brevinema andersonii,3,35
Spiroplasma leptinotarsae,,
Spiroplasma poulsonii,3,31
Spiroplasma eriocheiris,3,32
Spiroplasma monobiae,3,29
Spiroplasma syrphidicola,3,32
Spirochaeta odontotermitis,,24
Serpulina intermedia,3,34
Spirochaeta americana,7,45
Borrelia anserina,3,32
Arcobacter butzleri,15,54
Spirochaeta stenostrepta,,
Spirillum volutans,,
Flavobacterium antarcticum,5,39
Flavobacterium weaverense,3,42
Flavobacterium segetis,3,39
Dechloromonas denitrificans,9,59
Flavobacterium denitrificans,9,50
Paenibacillus anaericanus,7,54
Zobellia galactinovorans,6,40
Treponema azotonutricium,6,47
Alkalibacterium olivoapovliticus SN4c,8,69
Alkalibacterium olivoapovliticus SN4a,8,69
Treponema phagedenis,6,46
Psychroflexus torquis,9,37
Bacteroides thetaiotamicron,15,70
Akkermansia muciniphila,9,54
Spirochaeta coccoides,9,47
Serpulina alvinipulli,3,35
Brachyspira suanatina,3,34
Spirochaeta perfilievii,22,59
Spirochaeta cellobiosiphila,9,44
Spirochaeta bajacaliforniensis,6,44
Spirochaeta isovalerica,16,60
Spirochaeta litoralis,,
Spirochaeta psychrophila,,
Spirochaeta smaragdinae,6,50
Rectinema cohabitans,,
Sphaerochaeta halotolerans,8,45
Borrelia burgdorferi,5,30
Treponema isoptericolens,,
Magnetospirillum gryphiswaldense,6,49
Tannerella forsythia,5,44
Spirochaeta thermophila,6,46
Sphingomonas sp. RB2256,,
Photobacterium angustum,17,137
Photobacterium kishitanii,24,164
Pelagimonas varians,3,42
Polynucleobacter asymbioticus,3,38
Desulfovibrio vulgaris,16,67
Mycoplasma pulmonis,4,29
Leptospira biflexa,5,35
Mycoplasma orale,3,33
Mycoplasma felis,9,29
Mycoplasma hyorhinis,3,30
Mycoplasma feriruminatoris,3,30
Mycoplasma ovipneumoniae,3,31
Mycoplasma agalactiae,5,34
Mycoplasma mycoides,6,30
Acholeplasma morum,6,39
Mycoplasma gallisepticum,6,32
Mycoplasma fermentans,5,35
Mycoplasma agalactiae,5,34
Mycoplasma arginini,6,32
Mycoplasma neurolyticum,4,30
Mycoplasma salivarium,3,33
Mycoplasma arthritidis,3,33
Mycoplasma fermentans,5,35
Mycoplasma hominis,6,33
Mycoplasma orale,3,33
Mesoplasma florum,6,29
Flavobacterium limicola,3,46
Flavobacterium limicola,3,46
Flavobacterium limicola,3,46
Spiroplasma cantharicola,3,29
Spiroplasma culicicola,3,29
Verrucomirobium sp.,,
UMB 12-3,,
UMB 12-4,,
UMB 12-5,,
UMB 13-8,,
UMP DY01,,
UMB ND5,,
UMB 114,,
UMB D-5,,
UMB D-6,,
UMB D-7,,
UMB MY14,,
UMB 12-8,,
UMB 13-2,,
Elusimicrobium minutum,3,44
Herminiimonas glaciei,,
Endomicrobium proavitum,3,46
Victivallis vadensis,3,57
Fimbriimonas ginsengisoli,4,49
Spiroplasma phoeniceum,3,43
Treponema saccharophilum,5,60
Spirochaeta alkalica,6,44
Spirochaeta africana,9,46
Spirochaeta asiatica,,
Mycoplasma meleagridis,6,33
Spiroplasma floricola,3,29
Pseudoalteromonas piscicida Cura-d,28,108
Borrelia garinii,5,32
Borrelia recurrentis,3,32
Tenacibaculum skagerrakense,4,50
Ferrobacillus ferrooxidans,6,47
Mycobacterium leprae,3,45
Mycobacterium lepraemurium,,
Mycobacterium phlei,6,46
Paracoccus denitrificans,3,48
Pseudomonas putida,22,75
Mycobacterium smegmatis,9,47
Yersinia enterocolitica,7,74
Shigella flexneri,22,97
Salinivibrio costicola,18,85
Flavobacterium johnsoniae,18,62
Chrysobacterium greenlandense,,
Chlamydia trachomatis,6,37
Legionella micdadei,9,43
Acetonema longum,3,63
Nocardia erythropolis,,
Brucella abortus,9,55
Deinococcus radiodurans,9,50
Lactobacillus reuteri,18,69
Streptococcus gordonii,12,59
Actinomyces naeslundii,9,51
Tannerella forsythia,5,44
Streptococcus mutans,15,65
Acinetobacter baumannii,18,72
Caulobacter crescentus,6,51
Asticcacaulis biprosthecum,3,44
Orientia tsutsugamushi,3,34
Chlamydia trachomatis,6,37
Veillonella parvula,12,48
Campylobacter jejuni,9,43
Streptococcus gordonii,12,59
Mycoplasma genitalium,3,36
Pelagibacter ubique,3,31
Mycoplasma pneumoniae,3,36
Mycoplasma capricolum,6,30
Sphingopyxis alaskensis,3,45
Xanthomonas pruni,6,54
Haemophilus influenzae,14,47
Xanthomonas campestris,6,53
Bdellovibrio bacteriovorus,6,36
Rickettsia prowazekii,3,33
Mycoplasma mobile,3,28
Propionibacterium acnes,9,45
Staphylococcus epidermidis,19,61
Serratia marcescens,27,93
Streptococcus mutans,15,65
Vibrio campbellii,37,131
Salinibacter ruber,3,46
Streptococcus pneumoniae,3,23
Ralstonia solanacearum,9,54
Mycobacterium avium,3,46
Shewanella donghaensis,31,104
Vibrio fischeri,4,79
Oenococcus oeni,6,47
Acholeplasma laidlawii,5,33
Chimaereicella alkaliphila,8,40
Neisseria gonorrhoeae,12,55
Neisseria meningitidis,12,59
Streptococcus cremoris,19,62
Staphylococcus aureus,16,61
Vibrio cholerae,22,90
Proteus mirabilis,22,83
Alkalibacterium iburiense,,
Helicobacter pylori,6,36
Mycobacterium tuberculosis,3,45
Pseudomonas fluorescens,19,69
Paracoccus denitrificans,3,48
Legionella pneumophila,9,43
Ureaplasma urealyticum,6,30
Pseudomonas marina,9,70
Alkalibacterium psychrotolerans,,
Burkholderia pseudomallei,12,60
Streptococcus agalactiae,24,90
Enterobacter cloacae,25,83
Pseudomonas aeruginosa,13,63
Arthrobacter globiformis,3,49
Burkholderia thailandensis,12,60
Brochothrix thermosphacta,28,84
Klebsiella pneumoniae,25,62
Leptospira icterohaemorrhagiae,5,37
Leptospira pomona,5,37
Agrobacterium tumefaciens,12,53
Erwinia amylovora,22,77
Vibrio harveyi,37,130
Streptococcus pyogenes,18,67
Shewanella frigidimarina,28,98
Enterococcus faecalis,12,51
Proteus vulgaris,14,77
Bacillus circulans,33,84
Streptomyces coelicolor,,
Alteromonas macleodii,3,62
Shewanell oneidensis,28,104
Aeromonas hydrophila,31,115
Rhizobium leguminosarum,9,51
Bacillus licheniformis,24,83
Pasteurella multocida,16,56
Vibrio alginolyticus,37,129
Colwellia demingiae,16,75
Pseudomonas putida,22,75
Alcaligenes aestus,4,49
Bacillus coagulans,30,84
Bacillus laterosporus,33,110
Halomonas alimentaria,2,57
Alteromonas infernus,,
Salmonella typhimurium,22,85
Alteromonas denitrificans,11,68
Escherichia coli,22,86
Photobacterium phosphoreum,4,76
Delftia acidovorans,5,66
Aeromonas salmonicida,31,127
Acinetobacter calcoaceticus,18,73
Bacillus macerans,24,82
Bacillus brevis,41,125
Bacillus subtilis,30,86
Lactobacillus casei,15,59
Marinomonas vaga,,
Myxococcus xanthus,12,66
Enterobacter aerogenes,25,87
Vibrio splendidus,6,93
Lactococcus bulgaricus,,
Burkholderia cepacia,18,70
Pseudomonas syringae,16,64
Lactococcus lactis,19,65
Azospirillum brasilense,30,80
Ruegeria pomeroyi,9,52
Bacillus polymyxa,42,111
Sphaerotilus natans,11,67
Vibrio natriegens,34,129
Bacillus megaterium,6,65
Achromobacter xylosoxidans,7,54
Bacillus mycoides,42,106
Lactobacillus plantarum,16,67
Bacillus thuringiensis,4,91
Bacillus anthracis,33,95
Bacillus cereus,42,106
Azotobacter agilis,,
Cupriavidus necator,15,67
Corynebacterium glutamicum,3,59
Zymomonas mobilis,9,51
Azotobacter chroococcum,18,64
Acetobacter malorum,3,54
Agrobacterium sanguineum,3,44
Arthrobacter histidinolovorans,6,54
Bacillus firmus,36,106
Bifidobacterium longum,12,62
Deleya pacifica,3,52
Gluconobacter japonicus,3,50
Gluconobacter oxydans,12,55
Haererehalobacter ostenderis,,
Halomonas cupida,5,50
Halomonas meridiana,18,61
Halomonas venusta,18,60
Lactobacillus johnsonii,24,79
Listeria innocua,3,49
Mannheimia succiniciproducens,19,59
Marinomonas communis,11,69
Megasphaera elsdenii,21,65
Methylobacterium extorquens,15,58
Photobacterium mandapamensis,7,74
Porphyromonas gingivalis,12,53
Propionibacterium avidum,9,46
Propionibacterium granulosum,6,45
Pseudoalteromonas citrea,11,100
Pseudoalteromonas tetraodonis,25,114
Pseudomonas doudoroffii,9,74
Roseobacter litoralis,3,38
Selenomonas ruminantium,10,63
Shewanella pealeana,34,147
Staphylococcus xylosus,22,59
Vibrio anguillarum,3,65
Vibrio marinus,53,141
Vibrio parahaemolyticus,34,127
Xylella fastidiosa,6,49
Leptospira kobayashii,4,36
Verrucomirobium sp.,,
Leptospira canicola,5,37