genus,species,metabolic_rate (W/kg),wet_cell_mass_Makarieva (10^-12 grams),wet_cell_mass_Makarieva (ng),metabolic_rate (J/(h kg)),metabolic_rate_Makarieva (Log10[J/h]),wet_cell_mass_Trickovic (ng),metabolic_rate_Trickovic (Log10[J/h]),metabolic_rate_q10_Trickovic (Log10[J/h]),metabolic_rate_q10 (J/(h um^3)),temperature (C),shape,D_external,L_external,Dh_external,P_external,V_external,S_external,D_internal,L_internal,Dh_external,P_external,V_internal,S_internal,rate_link,rate_title,rate_details,rate_comment,size_link,size_title,size_details,size_comment,extra_calculations,extra_calculations,extra_calculations,original_units,conversion_factors,conversion_factors,conversion_factors,conversion_factors,,,,,
Aerobacter,aerogenes,136,0.4,0.0004,489600,-9.7080986,0.002530472051,-8.906957046,-9.304897055,-9.225040482,30,rod,0.65,3.3,,,1.023144732,6.738716242,0.59,3.24,,,0.8320385097,6.005468517,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Krieg1984,"Krieg, N.R. and Holt, J.G. eds., 1984. Bergey's manual of systematic bacteriology. Vol. I (pp. xxvii+-964).",p. 461,Original reference cited in Makarieva's study; Type species,,,,,,,,,,,,,
Alteromonas,haloplanktis,280,1,0.001,1008000,-8.996539468,0.003885033232,-8.40714473,-8.606114734,-8.754242647,25,rod,1,2.4,,,1.623156204,7.539822369,0.94,2.34,,,1.406461709,6.910247201,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 470,Different edition but the same reference,,,,,,,,,,,,,
Azospirillum,brasilense,105,1,0.001,378000,-9.4225082,,,,,37,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Azospirillum,lipoferum,112,4,0.004,403200,-8.792419485,0.01800869139,-8.138997321,-8.815495335,-9.704666648,37,rod,1.55,5,,,8.459687243,24.34734307,1.49,4.94,,,7.747673542,23.12400689,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 7,Different edition but the same reference,,,,,,,,,,,,,
Azotobacter,agilis,2500,19,0.019,9000000,-6.76700389,0.01944702487,-6.756904321,-7.15484433,-8.086999417,30,rod,3,2.3,,,9.189158512,21.67698931,2.94,2.24,,,8.553721132,20.68927258,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 383,Different edition but the same reference,,,,,,,,,,,,,
Azotobacter,chroococcum,3000,12,0.012,10800000,-6.887394998,0.02288121987,-6.60709707,-7.005037079,-8.013265376,30,rod,2.05,4,,,10.94710868,25.76105976,1.99,3.94,,,10.19126976,24.63197136,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 400,Different edition but the same reference,,,,,,,,,,,,,
Bacillus,cereus,96,3.7,0.0037,345600,-8.893224542,0.007833208457,-8.567486582,-8.965426591,-9.450080657,30,rod,1.1,4,,,3.452872126,13.82300768,1.04,3.94,,,3.052488708,12.87299006,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,DeVos2009,"Bergey's Manual of Systematic Bacteriology : Volume 3: the Firmicutes, edited by Paul Vos, et al., Springer, 2009.",p. 95,Different edition but the same reference,,,,,,,,,,,,,
Bacillus,licheniformis,218,0.9,0.0009,784800,-9.150998496,0.00195751798,-8.813535246,-9.49003326,-9.293416528,37,rod,0.7,2.25,,,0.7761042851,4.948008429,0.64,2.19,,,0.6358918634,4.403256263,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,DeVos2009,"Bergey's Manual of Systematic Bacteriology : Volume 3: the Firmicutes, edited by Paul Vos, et al., Springer, 2009.",p. 108,Different edition but the same reference,,,,,,,,,,,,,
Bacillus,macerans,23,1,0.001,82800,-10.08196966,0.002485854283,-9.686493996,-10.36299201,-10.26817653,37,rod,0.6,3.75,,,1.003738853,7.068583471,0.54,3.69,,,0.8038675866,6.259937522,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Bacillus,subtilis,190,1.1,0.0011,684000,-9.123551213,0.002463484822,-8.773394007,-9.449892022,-9.367072359,37,rod,0.75,2.5,,,0.9940195505,5.890486225,0.69,2.44,,,0.826381025,5.289185392,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,DeVos2009,"Bergey's Manual of Systematic Bacteriology : Volume 3: the Firmicutes, edited by Paul Vos, et al., Springer, 2009.",p. 72,Different edition but the same reference,,,,,,,,,,,,,
Bdellovibrio,bacteriovorus,28,0.5,0.0005,100800,-10.29756946,0.0001944796196,-10.70766537,-11.10560538,-9.664279983,30,rod,0.25,1.4,,,0.06463172386,1.099557429,0.19,1.34,,,0.03619716876,0.7998494896,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Bradyrhizobium,sp.,98,0.7,0.0007,352800,-9.607373384,,,,,30,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Burkholderia,sp. JT1500,330,0.66,0.00066,1188000,-9.105639624,0.001718807705,-8.689956267,-9.087896276,-8.82427011,30,rod,0.65,2.25,,,0.6747224722,4.594579256,0.59,2.19,,,0.544971554,4.059251868,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Morawski1997,"Morawski, B., Eaton, R.W., Rossiter, J.T., Guoping, S., Griengl, H. and Ribbons, D.W., 1997. 2-Naphthoate catabolic pathway in Burkholderia strain JT 1500. Journal of bacteriology, 179(1), pp.115-121.",p. 116,Original reference cited in Makarieva's study,,,,,,,,,,,,,
Corynebacterium,sp.,107,0.5,0.0005,385200,-9.715343717,,,,,30,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Desulfobulbus,propionicus,28,1.8,0.0018,100800,-9.741266963,0.003430170035,-9.461223819,-9.859163828,-9.951868522,30,rod,1.15,1.75,,,1.41954173,6.322455215,1.09,1.69,,,1.237954534,5.787127827,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 991,Different edition but the same reference,,,,,,,,,,,,,
Enterococcus,cecorum,90,0.4,0.0004,324000,-9.887394998,0.002004862559,-9.187370384,-9.585310393,-9.416588509,30,sphere,1.15,,,,0.7963282878,4.154756284,1.09,,,,0.6780755988,3.732526232,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Devriese1993,"Devriese, L.A., Dutta, G.N., Farrow, J.A.E., Van de Kerckhove, A. and Phillips, B.A., 1983. Streptococcus cecorum, a new species isolated from chickens. International Journal of Systematic and Evolutionary Microbiology, 33(4), pp.772-776.",p. 774,,,,,,,,,,,,,,
Enterococcus,sp. RfL6,103,0.8,0.0008,370800,-9.527770288,0.002237920826,-9.081015557,-9.478955565,-9.35388932,30,rod,0.8,2.05,,,0.8964011038,5.152211952,0.74,1.99,,,0.7497798331,4.626309342,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Bauer2000,"Bauer, S., Tholen, A., Overmann, J. and Brune, A., 2000. Characterization of abundance and diversity of lactic acid bacteria in the hindgut of wood-and soil-feeding termites by molecular and culture-dependent techniques. Archives of Microbiology, 173, pp.126-137.",p. 129,Original reference cited in Makarieva's study; Type species,,,,,,,,,,,,,
Escherichia,coli,300,1.2,0.0012,1080000,-8.887394998,0.003311464083,-8.446556196,-8.924084206,-8.99385462,32,rod,0.9466666667,2.257333333,,,1.366732679,6.713401986,0.8866666667,2.197333333,,,1.174276619,6.120771948,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Lactobacillus,bulgaricus,61,1.3,0.0013,219600,-9.544424312,,,,,45,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Lactobacillus,casei,23,1.9,0.0019,82800,-9.803216062,0.004094755959,-9.46974164,-9.867681648,-10.03621174,30,rod,0.9,3,,,1.717665783,8.482300165,0.84,2.94,,,1.474110671,7.758477217,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 494,Different edition but the same reference,,,,,,,,,,,,,
Lactobacillus,plantarum,22,3.8,0.0038,79200,-9.521491222,0.0099345257,-9.104127681,-9.50206769,-10.09684886,30,rod,1.05,5.5,,,4.459392597,18.14269757,0.99,5.44,,,3.933518261,16.9193614,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 506,Different edition but the same reference,,,,,,,,,,,,,
Lactococcus,lactis,37,0.2,0.0002,133200,-10.57446578,0.0008977976707,-9.922317301,-10.32025731,-9.751779037,30,sphere,0.862,,,,0.3353670725,2.334341572,0.802,,,,0.2700982231,2.020684961,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Lactococcus,sp. TmLO5,35,0.8,0.0008,126000,-9.996539468,0.002237920826,-9.549784737,-9.947724746,-9.822658501,30,rod,0.8,2.05,,,0.8964011038,5.152211952,0.74,1.99,,,0.7497798331,4.626309342,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Bauer2000,"Bauer, S., Tholen, A., Overmann, J. and Brune, A., 2000. Characterization of abundance and diversity of lactic acid bacteria in the hindgut of wood-and soil-feeding termites by molecular and culture-dependent techniques. Archives of Microbiology, 173, pp.126-137.",p. 129,Original reference cited in Makarieva's study; Type species,,,,,,,,,,,,,
Leptospira,biflexa,89,0.07,0.00007,320400,-10.64920945,0.001230733684,-9.404143406,-9.802083414,-9.096108212,30,helical,0.17,12.2,0.469,0.68,0.4709505746,11.111454,0.11,12.2,0.469,0.68,0.1967998657,7.169029842,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,Strain B16 is L. biflexa,20.80520975,,,,,,,,,,,,
Methylosinus,trichosporium,470,1,0.001,1692000,-8.771599641,0.001373403049,-8.633801634,-9.031741643,-8.673986214,30,rod,0.87,1.1815,,,0.529968106,3.229258797,0.81,1.1215,,,0.4387777244,2.85386989,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Mycobacterium,phlei,96,0.4,0.0004,345600,-9.859366275,,,,,37,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Neisseria,gonorrhoeae,31,0.2,0.0002,111600,-10.65130581,0.0007291745767,-10.08950429,-10.7660023,-10.09269608,37,sphere,0.8,,,,0.2680825731,2.010619298,0.74,,,,0.2121747902,1.720336137,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Neisseria,meningitidis,62,0.3,0.0003,223200,-10.17418456,0.000502583194,-9.950097848,-10.62659586,-9.764134407,37,sphere,0.7,,,,0.17959438,1.5393804,0.64,,,,0.1372582774,1.286796351,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Pseudomonas,aeruginosa,152,0.6,0.0006,547200,-9.483702661,0.001492563663,-9.087921047,,,,rod,0.6,2.25,,,0.5796238446,4.241150082,0.54,2.19,,,0.4603344299,3.715247472,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Krieg1984,"Krieg, N.R. and Holt, J.G. eds., 1984. Bergey's manual of systematic bacteriology. Vol. I (pp. xxvii+-964).",p. 165; Table 4.8,Original reference cited in Makarieva's study,,,,,,,,,,,,,
Pseudomonas,fluorescens,64,1.2,0.0012,230400,-9.558336279,0.002382009144,-9.260574101,-9.499338106,-9.400505772,26,rod,0.75,2.42,,,0.9586766332,5.701990666,0.69,2.36,,,0.7964667797,5.115769477,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Krieg1984,"Krieg, N.R. and Holt, J.G. eds., 1984. Bergey's manual of systematic bacteriology. Vol. I (pp. xxvii+-964).",p. 165; Table 4.8,Original reference cited in Makarieva's study,,,,,,,,,,,,,
Vibrio,natriegens,300,1,0.001,1080000,-8.966576245,0.002870978031,-8.508546375,-8.906486384,-8.912404716,30,rod,1.1,1.6,,,1.172075859,5.52920307,1.04,1.54,,,1.01372074,5.031574794,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Pseudomonas,perfectomarinus,88,1.7,0.0017,316800,-9.268765906,,,,,10,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Pseudomonas,putida,223,1.9,0.0019,802800,-8.816639035,0.003218236656,-8.587774659,-8.906126666,-8.95020644,28,rod,0.75,3.25,,,1.325359401,7.657632093,0.69,3.19,,,1.106827074,6.91495959,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Rhizobium,leguminosarum,37,0.6,0.0006,133200,-10.09734452,0.001821888078,-9.614974081,-10.01291409,-9.782023223,30,rod,0.7,2.1,,,0.7183775201,4.618141201,0.64,2.04,,,0.5876370002,4.101663369,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Staphylococcus,epidermidis,74,0.5,0.0005,266400,-9.875495775,0.001012496658,-9.569072181,-9.96701219,-9.45884867,30,sphere,0.9,,,,0.3817035074,2.544690049,0.84,,,,0.3103390887,2.216707776,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 406,Different edition but the same reference,,,,,,,,,,,,,
Streptococcus,agalactiae,122,0.3,0.0003,439200,-9.880216414,0.001012496658,-9.35194407,-10.02844209,-9.520278566,37,sphere,0.9,,,,0.3817035074,2.544690049,0.84,,,,0.3103390887,2.216707776,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 684,Different edition but the same reference,,,,,,,,,,,,,
